,area_type,location,size,total_sqft,bath,price,bhk,price_per_sqft
0,Super built-up  Area,1st Block BEL Layout,3 BHK,1540.0,3.0,85.0,3,5519.480519480519
1,Super built-up  Area,1st Block HBR Layout,1 BHK,600.0,1.0,45.0,1,7500.0
2,Built-up  Area,1st Block HBR Layout,4 BHK,3150.0,4.0,150.0,4,4761.9047619047615
3,Built-up  Area,1st Block HRBR Layout,3 BHK,2300.0,3.0,80.0,3,3478.2608695652175
4,Super built-up  Area,1st Block HRBR Layout,2 BHK,1250.0,2.0,67.0,2,5360.0
5,Super built-up  Area,1st Block Jayanagar,4 BHK,2850.0,4.0,428.0,4,15017.543859649122
6,Super built-up  Area,1st Block Jayanagar,3 BHK,1630.0,3.0,194.0,3,11901.840490797545
7,Super built-up  Area,1st Block Jayanagar,3 BHK,1875.0,2.0,235.0,3,12533.333333333334
8,Built-up  Area,1st Block Jayanagar,3 BHK,1200.0,2.0,130.0,3,10833.333333333334
9,Super built-up  Area,1st Block Jayanagar,2 BHK,1235.0,2.0,148.0,2,11983.805668016194
10,Super built-up  Area,1st Block Jayanagar,4 BHK,2750.0,4.0,413.0,4,15018.181818181818
11,Super built-up  Area,1st Block Jayanagar,4 BHK,2450.0,4.0,368.0,4,15020.408163265307
12,Built-up  Area,1st Block Koramangala,2 BHK,1415.0,2.0,110.0,2,7773.851590106007
13,Built-up  Area,1st Block Koramangala,2 BHK,860.0,2.0,65.5,2,7616.279069767442
14,Super built-up  Area,1st Block Koramangala,4 BHK,3000.0,3.0,300.0,4,10000.0
15,Built-up  Area,1st Block Koramangala,3 BHK,2350.0,3.0,210.0,3,8936.170212765957
16,Super built-up  Area,1st Block Koramangala,4 BHK,3000.0,5.0,500.0,4,16666.666666666668
18,Super built-up  Area,1st Phase JP Nagar,3 BHK,1875.0,3.0,167.0,3,8906.666666666666
19,Built-up  Area,1st Phase JP Nagar,5 Bedroom,1500.0,5.0,85.0,5,5666.666666666667
20,Super built-up  Area,1st Phase JP Nagar,3 BHK,2065.0,4.0,210.0,3,10169.49152542373
22,Super built-up  Area,1st Phase JP Nagar,3 BHK,2059.0,3.0,225.0,3,10927.634774162214
23,Super built-up  Area,1st Phase JP Nagar,2 BHK,1394.0,2.0,100.0,2,7173.601147776184
24,Super built-up  Area,1st Phase JP Nagar,2 BHK,1077.0,2.0,93.0,2,8635.097493036212
25,Plot  Area,1st Phase JP Nagar,2 Bedroom,1566.0,2.0,180.0,2,11494.252873563219
26,Built-up  Area,1st Phase JP Nagar,1 BHK,840.0,2.0,50.0,1,5952.380952380952
27,Super built-up  Area,1st Phase JP Nagar,3 BHK,1590.0,3.0,131.0,3,8238.993710691824
28,Super built-up  Area,1st Phase JP Nagar,3 BHK,2180.0,3.0,210.0,3,9633.02752293578
29,Super built-up  Area,1st Phase JP Nagar,2 BHK,1180.0,2.0,88.5,2,7500.0
30,Super built-up  Area,1st Phase JP Nagar,2 BHK,1200.0,2.0,86.0,2,7166.666666666667
31,Built-up  Area,1st Phase JP Nagar,2 BHK,1394.0,2.0,85.0,2,6097.5609756097565
32,Super built-up  Area,1st Phase JP Nagar,3 BHK,2077.0,3.0,175.0,3,8425.613866153106
34,Super built-up  Area,1st Phase JP Nagar,2 BHK,1205.0,2.0,85.0,2,7053.941908713693
36,Super built-up  Area,1st Phase JP Nagar,2 BHK,900.0,2.0,75.0,2,8333.333333333334
37,Built-up  Area,1st Stage Indira Nagar,2 BHK,1400.0,2.0,67.0,2,4785.714285714285
38,Super built-up  Area,1st Stage Indira Nagar,2 BHK,1200.0,2.0,55.0,2,4583.333333333333
39,Built-up  Area,1st Stage Indira Nagar,2 BHK,940.0,2.0,56.0,2,5957.446808510638
40,Super built-up  Area,1st Stage Indira Nagar,4 BHK,3000.0,4.0,301.0,4,10033.333333333334
41,Built-up  Area,2nd Block Hrbr Layout,3 BHK,1480.0,3.0,90.0,3,6081.081081081081
42,Super built-up  Area,2nd Block Hrbr Layout,3 BHK,1480.0,3.0,90.0,3,6081.081081081081
43,Super built-up  Area,2nd Block Hrbr Layout,3 BHK,1550.0,3.0,110.0,3,7096.774193548387
44,Plot  Area,2nd Block Hrbr Layout,4 Bedroom,1350.0,4.0,235.0,4,17407.40740740741
45,Super built-up  Area,2nd Block Jayanagar,3 BHK,1718.0,3.0,223.0,3,12980.209545983702
46,Built-up  Area,2nd Block Jayanagar,2 BHK,1000.0,2.0,97.0,2,9700.0
47,Super built-up  Area,2nd Phase JP Nagar,5 BHK,2800.0,4.0,200.0,5,7142.857142857143
48,Super built-up  Area,2nd Phase JP Nagar,2 BHK,1000.0,1.0,55.0,2,5500.0
49,Built-up  Area,2nd Phase JP Nagar,2 BHK,1040.0,2.0,78.0,2,7500.0
50,Super built-up  Area,2nd Phase JP Nagar,2 BHK,850.0,2.0,42.5,2,5000.0
51,Super built-up  Area,2nd Phase Judicial Layout,3 BHK,1450.0,2.0,50.75,3,3500.0
52,Super built-up  Area,2nd Phase Judicial Layout,2 BHK,1150.0,2.0,40.25,2,3500.0
53,Super built-up  Area,2nd Phase Judicial Layout,3 BHK,1350.0,2.0,47.25,3,3500.0
