,location,size,total_sqft,bath,price,bhk,price_per_sqft
0,1st Block Jayanagar,4 BHK,2850.0,4.0,428.0,4,15017.54385964912
1,1st Block Jayanagar,3 BHK,1630.0,3.0,194.0,3,11901.840490797544
2,1st Block Jayanagar,3 BHK,1875.0,2.0,235.0,3,12533.333333333336
3,1st Block Jayanagar,3 BHK,1200.0,2.0,130.0,3,10833.333333333334
4,1st Block Jayanagar,2 BHK,1235.0,2.0,148.0,2,11983.805668016194
5,1st Block Jayanagar,4 BHK,2750.0,4.0,413.0,4,15018.181818181818
6,1st Block Jayanagar,4 BHK,2450.0,4.0,368.0,4,15020.408163265307
7,1st Phase JP Nagar,3 BHK,1875.0,3.0,167.0,3,8906.666666666666
8,1st Phase JP Nagar,5 Bedroom,1500.0,5.0,85.0,5,5666.666666666668
9,1st Phase JP Nagar,3 BHK,2065.0,4.0,210.0,3,10169.49152542373
10,1st Phase JP Nagar,3 BHK,2059.0,3.0,225.0,3,10927.634774162214
11,1st Phase JP Nagar,2 BHK,1394.0,2.0,100.0,2,7173.601147776184
12,1st Phase JP Nagar,2 BHK,1077.0,2.0,93.0,2,8635.097493036212
13,1st Phase JP Nagar,2 Bedroom,1566.0,2.0,180.0,2,11494.25287356322
14,1st Phase JP Nagar,1 BHK,840.0,2.0,50.0,1,5952.380952380952
15,1st Phase JP Nagar,3 BHK,1590.0,3.0,131.0,3,8238.993710691824
16,1st Phase JP Nagar,3 BHK,2180.0,3.0,210.0,3,9633.02752293578
17,1st Phase JP Nagar,2 BHK,1180.0,2.0,88.5,2,7500.0
18,1st Phase JP Nagar,2 BHK,1200.0,2.0,86.0,2,7166.666666666668
19,1st Phase JP Nagar,2 BHK,1394.0,2.0,85.0,2,6097.560975609757
20,1st Phase JP Nagar,3 BHK,2077.0,3.0,175.0,3,8425.613866153106
21,1st Phase JP Nagar,2 BHK,1205.0,2.0,85.0,2,7053.941908713693
22,1st Phase JP Nagar,2 BHK,900.0,2.0,75.0,2,8333.333333333334
23,2nd Phase Judicial Layout,3 BHK,1450.0,2.0,50.75,3,3500.0
24,2nd Phase Judicial Layout,2 BHK,1150.0,2.0,40.25,2,3500.0
25,2nd Phase Judicial Layout,3 BHK,1350.0,2.0,47.25,3,3500.0
26,2nd Phase Judicial Layout,3 BHK,1350.0,2.0,47.25,3,3500.0
27,2nd Phase Judicial Layout,2 BHK,900.0,2.0,41.0,2,4555.555555555556
28,2nd Phase Judicial Layout,3 BHK,1681.0,3.0,69.0,3,4104.699583581201
29,2nd Phase Judicial Layout,3 BHK,1350.0,2.0,47.25,3,3500.0
30,2nd Phase Judicial Layout,2 BHK,1150.0,2.0,40.25,2,3500.0
31,2nd Stage Nagarbhavi,4 Bedroom,1500.0,4.0,220.0,4,14666.666666666664
34,2nd Stage Nagarbhavi,4 Bedroom,1350.0,4.0,200.0,4,14814.814814814818
35,2nd Stage Nagarbhavi,4 Bedroom,1200.0,4.0,225.0,4,18750.0
36,2nd Stage Nagarbhavi,4 Bedroom,1500.0,3.0,230.0,4,15333.333333333336
37,5th Block Hbr Layout,2 BHK,1206.0,2.0,56.0,2,4643.449419568822
38,5th Block Hbr Layout,3 BHK,1270.0,2.0,70.0,3,5511.811023622047
39,5th Block Hbr Layout,2 BHK,1312.0,2.0,69.0,2,5259.1463414634145
40,5th Block Hbr Layout,2 BHK,1100.0,2.0,48.0,2,4363.636363636364
41,5th Block Hbr Layout,5 Bedroom,3600.0,5.0,130.0,5,3611.111111111111
42,5th Block Hbr Layout,6 BHK,5100.0,5.0,300.0,6,5882.352941176469
43,5th Phase JP Nagar,2 BHK,1075.0,2.0,60.0,2,5581.39534883721
44,5th Phase JP Nagar,2 BHK,1150.0,3.0,52.5,2,4565.217391304348
